field.header.stamp,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z
1624346467,267.9573031,189.6188874,-42.15861569,1,-2.166748047,0.915527344,-0.427246094,-0.415771484,-0.749267578,0.501220703
1624346469,265.4563683,189.9773352,-42.50417811,1,-1.953125,0.762939453,-0.549316406,-0.416503906,-0.747314453,0.501220703
1624346472,267.2427503,189.9773352,-40.776366,1,-2.075195313,1.251220703,-0.457763672,-0.415283203,-0.744873047,0.496582031
1624346475,266.7068357,190.1565591,-41.98583448,1,-2.105712891,0.640869141,-0.793457031,-0.411865234,-0.747070313,0.499755859
1624346477,267.6000267,190.335783,-42.50417811,1,-2.105712891,0.457763672,-0.457763672,-0.418212891,-0.741943359,0.502441406
1624346480,267.6000267,188.543544,-43.88642781,1,-2.075195313,0.854492188,-0.762939453,-0.416015625,-0.740966797,0.506103516
1624346483,268.1359413,190.5150069,-41.29470963,1,-2.136230469,1.159667969,-0.701904297,-0.419189453,-0.743408203,0.509277344
1624346485,267.4213885,191.2319025,-41.64027205,1,-1.708984375,0.671386719,-0.762939453,-0.412841797,-0.743408203,0.504882813
1624346488,269.0291323,192.128022,-42.15861569,1,-2.044677734,0.915527344,-0.701904297,-0.417236328,-0.75,0.506103516
1624346491,268.1359413,190.1565591,-41.98583448,1,-1.892089844,0.793457031,-0.579833984,-0.413574219,-0.745605469,0.504882813
1624346494,266.5281975,189.9773352,-42.50417811,1,-2.136230469,0.762939453,-0.701904297,-0.415039063,-0.746337891,0.506347656
1624346496,267.6000267,190.335783,-41.81305327,1,-1.892089844,0.671386719,-0.457763672,-0.417236328,-0.743408203,0.503417969
1624346499,268.6718559,189.6188874,-41.12192842,1,-1.861572266,0.854492188,-0.762939453,-0.421630859,-0.743408203,0.50390625
1624346502,267.6000267,190.6942308,-41.81305327,1,-2.014160156,1.007080078,-0.732421875,-0.413574219,-0.745361328,0.507080078
1624346504,268.3145795,190.335783,-42.15861569,1,-2.014160156,0.885009766,-0.793457031,-0.414550781,-0.747070313,0.504150391
1624346507,266.7068357,190.1565591,-42.3313969,1,-1.831054688,0.793457031,-0.671386719,-0.416503906,-0.744628906,0.499755859
1624346510,266.8854739,189.9773352,-40.776366,1,-2.075195313,1.098632813,-0.793457031,-0.415039063,-0.747558594,0.5078125
1624346512,268.1359413,189.0812157,-40.94914721,1,-2.105712891,0.854492188,-0.305175781,-0.413818359,-0.748291016,0.502197266
1624346515,268.4932177,191.2319025,-41.64027205,1,-1.800537109,0.915527344,-0.701904297,-0.415039063,-0.745361328,0.499511719
1624346518,267.4213885,191.5903503,-42.3313969,1,-1.892089844,0.823974609,-0.701904297,-0.412841797,-0.747802734,0.500732422
1624346521,267.2427503,191.0526786,-41.12192842,1,-1.892089844,0.946044922,-0.671386719,-0.413574219,-0.743164063,0.501464844
1624346523,268.3145795,190.335783,-41.81305327,1,-2.319335938,0.701904297,-0.366210938,-0.410888672,-0.744628906,0.504882813
1624346526,267.7786649,190.1565591,-42.3313969,1,-1.983642578,0.549316406,-0.457763672,-0.412109375,-0.744384766,0.502197266
1624346529,266.8854739,190.6942308,-41.12192842,1,-1.983642578,0.946044922,-0.610351563,-0.417480469,-0.747314453,0.504394531
1624346531,268.3145795,189.6188874,-42.15861569,1,-1.983642578,1.129150391,-0.854492188,-0.418945313,-0.742675781,0.497070313
1624346534,268.4932177,189.7981113,-42.3313969,1,-2.166748047,0.793457031,-0.701904297,-0.412597656,-0.743896484,0.502197266
1624346537,267.7786649,191.2319025,-41.64027205,1,-1.892089844,0.9765625,-0.915527344,-0.413330078,-0.747314453,0.498535156
1624346539,268.8504941,190.1565591,-40.94914721,1,-2.075195313,1.068115234,-0.762939453,-0.414306641,-0.748779297,0.494628906
1624346542,249.7362065,179.2239011,-30.40949328,1,31.18896484,38.69628906,-0.183105469,-0.418701172,-0.678955078,0.721435547
